ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
AL30D,67.25,183060.37,11372.5031,1456.3169,1456.44016,6534.473000000001,2023-04-19 15:02:32.504238
AL30D,67.25,413023.04,13915.9701,1456.3169,1456.44016,1739.1406,2023-04-19 15:02:42.504503
AL30D,67.24,573278.2,13074.0375,1456.3169,1456.44016,896.8514,2023-04-19 15:02:52.522560
AL30D,67.24,116231.0,3225.3621000000003,543.0238,436.77078,3225.0888800000002,2023-04-19 15:03:02.527854
AL30D,67.24,63789.38,9307.7703,1926.7902,1926.9532800000002,6084.9844,2023-04-19 15:03:12.557203
AL30D,67.24,70000.0,9307.7703,14177.4,14178.6,3914.7788,2023-04-19 15:03:22.562155
AL30D,67.24,79423.99,5424.3975,14177.4,14178.6,2199.9668,2023-04-19 15:03:32.564742
AL30D,67.24,680000.0,178.26305,14177.4,14178.6,178.33100000000002,2023-04-19 15:03:42.566132
AL30D,67.24,1146000.0,1409.5169999999998,14172.0,12.98605,4241.0643,2023-04-19 15:03:52.567955
AL30D,67.24,2615577.88,997.77582,9894.951,948.0821000000001,3866.8601799999997,2023-04-19 15:04:02.807404
AL30D,67.24,136339253.75,1650.53,9894.951,4260.1884,76.02098000000001,2023-04-19 15:04:12.937317
AL30D,67.24,72979.45,2984.12778,9849.460000000001,1074.49503,1810.28358,2023-04-19 15:04:22.988717
AL30D,67.24,2231823.88,2555.8646400000002,9849.460000000001,1074.49503,2559.12384,2023-04-19 15:04:33.143227
AL30D,67.25,1357100.0,11375.924340000001,1652.63,948.484,11374.959420000001,2023-04-19 15:04:43.168429
AL30D,67.25,98125.0,10049.134010000002,1652.63,948.484,10048.281630000001,2023-04-19 15:04:53.321570
AL30D,67.25,1050491.07,8355.45444,73.16,948.484,8814.497220000001,2023-04-19 15:05:03.328537
AL30D,67.26,30000.0,1382.2704,2056.4168600000003,1027.3370300000001,1382.15286,2023-04-19 15:05:13.355492
AL30D,67.26,100915.0,65.856,37085.44499999999,1471.44057,65.8504,2023-04-19 15:05:23.406172
AL30D,67.26,100915.0,446.861,11.785,11.786,447.431,2023-04-19 15:05:33.567011
AL30D,67.26,69792782.92,5352.0885,46.629000000000005,1045.47328,4574.96865,2023-04-19 15:05:43.753064
AL30D,67.25,2272036.64,5418.12843,944.2847999999999,943.96416,5413.27463,2023-04-19 15:05:53.894612
AL30D,67.25,62324.32,7915.691999999999,1309.7578999999998,944.6455199999999,4948.41888,2023-04-19 15:06:03.900317
AL30D,67.25,946709.46,4945.896,191.3802,191.39646000000002,4948.41888,2023-04-19 15:06:13.948071
AL30D,67.26,63401636.1,1542.9662399999997,1178.5,1178.6,1543.7532,2023-04-19 15:06:23.952270
AL30D,67.25,20049.71,5391.26632,29741.453999999998,922.41048,4948.41888,2023-04-19 15:06:33.983722
AL30D,67.25,1945882.09,423.36,29741.453999999998,908.73466,423.9,2023-04-19 15:06:43.999241
AL30D,67.25,412670.62,4165.928239999999,1309.81345,908.73466,2118.6,2023-04-19 15:06:54.074767
AL30D,67.25,30000.0,125.3616,1065.6558,1973.05502,125.45221,2023-04-19 15:07:04.078766
AL30D,67.25,171900.0,39999.914000000004,3617.6369,3617.9443000000006,4022.0910000000003,2023-04-19 15:07:14.086939
AL30D,67.24,268556.97,34917.77643,4071.6391999999996,4071.98484,34943.011399999996,2023-04-19 15:07:24.088399
AL30D,67.25,323999.94,33722.979100000004,23.08782,662.2716,27869.1673,2023-04-19 15:07:34.091812
AL30D,67.25,429500421.65,6710.9616000000005,3873.9707999999996,144.41667,46725.6387,2023-04-19 15:07:44.099890
AL30D,67.25,6699.92,5857.1856,3533.85,144.41667,45871.49970000001,2023-04-19 15:07:54.108057
AL30D,67.24,3189.18,15006.2575,3533.85,144.41054,43594.031,2023-04-19 15:08:04.117202
AL30D,67.25,7808418.15,15007.533000000001,144.37989000000002,144.3002,18023.86476,2023-04-19 15:08:14.143017
AL30D,67.24,246292.84,4947.367679999999,1308.6469,4196.09349,4947.367679999999,2023-04-19 15:08:24.470366
AL30D,67.24,493000.0,1927.5165,1308.6469,4196.09349,1927.5165,2023-04-19 15:08:34.584962
AL30D,67.24,287741.0,9095.2862,884.33256,884.4077199999999,9095.2862,2023-04-19 15:08:44.607287
AL30D,67.25,7616642.25,8977.4009,1544.16984,0.23534,8977.4009,2023-04-19 15:08:54.784484
AL30D,67.24,100000.0,5669.5535,2020.6928400000002,661.77608,5669.5535,2023-04-19 15:09:04.829824
AL30D,67.24,30790.0,13657.863019999999,661.96239,661.5407399999999,13657.863019999999,2023-04-19 15:09:14.843054
AL30D,67.24,3006.86,13657.863019999999,1783.34905,1783.50047,13657.863019999999,2023-04-19 15:09:24.911779
AL30D,67.25,188729.64,11342.64793,1308.4246999999998,1308.5358,11342.64793,2023-04-19 15:09:35.368396
AL30D,67.25,62240.0,1307.2025999999998,1323.7455000000002,1323.85792,1307.2025999999998,2023-04-19 15:09:45.395965
AL30D,67.25,7360.71,219.09223000000003,1323.7455000000002,1323.85792,219.09223000000003,2023-04-19 15:09:55.682792
AL30D,67.25,21052.72,1177.0,4.9455,4.94592,1177.0,2023-04-19 15:10:05.811075
AL30D,67.26,151000.0,1052.9442,4.9455,4.94592,1052.9442,2023-04-19 15:10:16.262258
AL30D,67.25,905662.05,2941.9766999999997,105.2685,105.27744000000001,2943.603,2023-04-19 15:10:26.284460
AL30D,67.25,1557271.56,2284.7630000000004,1228.36626,1228.47054,2284.7630000000004,2023-04-19 15:10:36.300260
AL30D,67.25,3017.55,167.063,1228.36626,1228.47054,167.063,2023-04-19 15:10:46.672947
AL30D,67.26,3173564.0,159.9496,7.059000000000001,7.0596000000000005,159.9496,2023-04-19 15:10:56.675353
AL30D,67.26,178100.0,7889.609,1308.6469,1308.7579999999998,7889.609,2023-04-19 15:11:06.688185
AL30D,67.26,30107.03,3820.1399000000006,4692.554399999999,1562.392,3820.1399000000006,2023-04-19 15:11:18.796419
AL30D,67.27,483223011.6,3820.1399000000006,1563.8528,1562.392,3820.1399000000006,2023-04-19 15:11:28.809059
AL30D,67.26,37818.78,3283.4066000000003,833.9886,834.0594,3283.4066000000003,2023-04-19 15:11:38.873933
AL30D,67.25,161190.52,677.2925,833.9886,834.0594,677.2925,2023-04-19 15:11:48.883795
AL30D,67.25,95273.32,198.762,2146.84054,311.4632,198.762,2023-04-19 15:11:58.964878
AL30D,67.25,20793.35,198.762,5444.96054,311.4632,198.762,2023-04-19 15:12:08.967490
AL30D,67.25,500000.0,1183.152,1870.664,1870.8228,1183.152,2023-04-19 15:12:19.156179
AL30D,67.25,160569.15,15216.37404,14.836500000000001,524.9295000000001,3526.8,2023-04-19 15:12:29.172988
AL30D,67.26,50028000.0,34.38008,223.01850000000002,223.03743999999998,34.377159999999996,2023-04-19 15:12:39.189405
AL30D,67.24,66550.56,39999.79,34.38008,34.37862,56215.19,2023-04-19 15:12:49.190985
AL30D,67.23,859228.0,3640.9318,1308.6469,34.37862,3640.9318,2023-04-19 15:12:59.224492
AL30D,67.23,252074.0,11.538519999999998,1829.1984,1829.3536800000002,11.53754,2023-04-19 15:13:09.240795
AL30D,67.23,29817.0,2355.0,4846.66345,4715.999999999999,2354.7999999999997,2023-04-19 15:13:19.250171
AL30D,67.22,3039.05,3135.2115000000003,4351.268660000001,4351.63774,780.2115000000001,2023-04-19 15:13:29.253559
AL30D,67.22,459887.18,29351.10048,10759.24,11327.056,29348.611199999996,2023-04-19 15:13:39.272027
AL30D,67.22,20509.56,28884.17688,10759.24,11327.056,52512.764709999996,2023-04-19 15:13:49.273301
AL30D,67.22,1191095.68,11201.45334,10759.24,11327.056,63194.7219,2023-04-19 15:13:59.440734
AL30D,67.22,17141.58,17579.168,10759.24,10760.1518,17577.67824,2023-04-19 15:14:09.484513
