ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
AL30,67.25,183060.37,489226.5,1516512.3,474087.5,1949300.0,2023-04-19 15:02:32.504238
AL30,67.25,413023.04,489226.5,1516512.3,1270.75,1851835.0,2023-04-19 15:02:42.504503
AL30,67.24,573278.2,25389.0,9478823.62,1270.75,752446.085,2023-04-19 15:02:52.522560
AL30,67.24,116231.0,25389.0,9478823.62,486795.0,11970855.0,2023-04-19 15:03:02.527854
AL30,67.24,63789.38,25389.0,9478823.62,488750.0,10407930.0,2023-04-19 15:03:12.557203
AL30,67.24,70000.0,63492.0,9478823.62,977850.0,1843819.55,2023-04-19 15:03:22.562155
AL30,67.24,79423.99,63492.0,9478823.62,2444750.0,1844008.65,2023-04-19 15:03:32.564742
AL30,67.24,680000.0,63492.0,1705560.0,977850.0,193762.305,2023-04-19 15:03:42.566132
AL30,67.24,1146000.0,33678.9,8586942.42,977850.0,1950500.0,2023-04-19 15:03:52.567955
AL30,67.24,2615577.88,1398504.12,8586942.42,878109.3,1361964.32,2023-04-19 15:04:02.807404
AL30,67.24,136339253.75,1398113.64,6557766.32,2321632.39,1361964.32,2023-04-19 15:04:12.937317
AL30,67.24,72979.45,34752.72,6557766.32,977800.0,1098450.15,2023-04-19 15:04:22.988717
AL30,67.24,2231823.88,34752.72,6557766.32,932821.2,1059446.15,2023-04-19 15:04:33.143227
AL30,67.25,1357100.0,34752.72,1919690.55,4711463.13,7826227.5,2023-04-19 15:04:43.168429
AL30,67.25,98125.0,6662175.0,54898.13,20511908.8,762157.5,2023-04-19 15:04:53.321570
AL30,67.25,1050491.07,6662175.0,54898.13,11750161.6,655297.5,2023-04-19 15:05:03.328537
AL30,67.26,30000.0,29926.36,10300777.5,7561169.6,704524.4,2023-04-19 15:05:13.355492
AL30,67.26,100915.0,6662175.0,10300777.5,7548872.0,704524.4,2023-04-19 15:05:23.406172
AL30,67.26,100915.0,6662175.0,10300777.5,6091508.8,366664.08,2023-04-19 15:05:33.567011
AL30,67.26,69792782.92,74602.8,5113883.65,2338131.6,10900.96,2023-04-19 15:05:43.753064
AL30,67.25,2272036.64,9755.0,81790.8,88271.08,1915453.325,2023-04-19 15:05:53.894612
AL30,67.25,62324.32,9755.0,1799631.7,1805456.05,1915453.325,2023-04-19 15:06:03.900317
AL30,67.25,946709.46,9755.0,158469.96,2338131.6,1946600.0,2023-04-19 15:06:13.948071
AL30,67.26,63401636.1,9755.0,4857645.0,2337155.1,1946600.0,2023-04-19 15:06:23.952270
AL30,67.25,20049.71,9755.0,1461900.0,2321628.75,1947100.0,2023-04-19 15:06:33.983722
AL30,67.25,1945882.09,9755.0,1461900.0,2126328.75,1941453.41,2023-04-19 15:06:43.999241
AL30,67.25,412670.62,9755.0,1461900.0,2126328.75,1666717.6,2023-04-19 15:06:54.074767
AL30,67.25,30000.0,9755.0,3012098.76,1901538.16,236134.375,2023-04-19 15:07:04.078766
AL30,67.25,171900.0,68320.0,3077471.0,1901538.16,86668.2,2023-04-19 15:07:14.086939
AL30,67.24,268556.97,68320.0,317882.28,1901440.505,1947700.0,2023-04-19 15:07:24.088399
AL30,67.25,323999.94,236801.25,892225.8,260175.1,1947700.0,2023-04-19 15:07:34.091812
