ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
GD30,67.25,183060.37,23121000.0,999105.39,9309650.9,1100289.96,2023-04-19 15:02:32.504238
GD30,67.25,413023.04,23121000.0,999105.39,1074016.92,694414.68,2023-04-19 15:02:42.504503
GD30,67.24,573278.2,23121000.0,4716181.06,6232315.635,694414.68,2023-04-19 15:02:52.522560
GD30,67.24,116231.0,23121000.0,514930.85,1102750.0,694414.68,2023-04-19 15:03:02.527854
GD30,67.24,63789.38,23121000.0,2531380.0,5512500.0,501338.355,2023-04-19 15:03:12.557203
GD30,67.24,70000.0,1102050.0,440740.0,3285009.0,6330540.8,2023-04-19 15:03:22.562155
GD30,67.24,79423.99,1891518.0,418247.0,110200.0,2747875.0,2023-04-19 15:03:32.564742
GD30,67.24,680000.0,11007000.0,2201200.0,6849740.97,1813597.5,2023-04-19 15:03:42.566132
GD30,67.24,1146000.0,22670300.0,2201200.0,110150.0,10107511.125,2023-04-19 15:03:52.567955
GD30,67.24,2615577.88,110115720.0,1209450.0,4476063.65,2414173.3,2023-04-19 15:04:02.807404
GD30,67.24,136339253.75,549425.0,1099450.0,1099950.0,137049.12,2023-04-19 15:04:12.937317
GD30,67.24,72979.45,994303.53,109950.0,921076.65,1237037.05,2023-04-19 15:04:22.988717
GD30,67.24,2231823.88,994303.53,1209450.0,3450177.55,1098.95,2023-04-19 15:04:33.143227
GD30,67.25,1357100.0,994303.53,439760.0,550200.0,1674876.0,2023-04-19 15:04:43.168429
GD30,67.25,98125.0,550200.0,109950.0,54279.3,89641.68,2023-04-19 15:04:53.321570
GD30,67.25,1050491.07,89800.8,398475.655,8181501.4,2902942.92,2023-04-19 15:05:03.328537
GD30,67.26,30000.0,5695401.335,369575.56,392500.08,1404695.805,2023-04-19 15:05:13.355492
GD30,67.26,100915.0,1652250.0,369575.56,2506609.2,5299919.85,2023-04-19 15:05:23.406172
GD30,67.26,100915.0,11020500.0,1185108.93,2058214.56,2199500.0,2023-04-19 15:05:33.567011
GD30,67.26,69792782.92,2753750.0,83808.93,3524328.24,2199900.0,2023-04-19 15:05:43.753064
GD30,67.25,2272036.64,2753750.0,83808.93,2005888.5,1710668.7,2023-04-19 15:05:53.894612
GD30,67.25,62324.32,11020500.0,215524.41,2470713.12,1522073.28,2023-04-19 15:06:03.900317
GD30,67.25,946709.46,11020500.0,929705.7,519418.8,2223459.225,2023-04-19 15:06:13.948071
GD30,67.26,63401636.1,11020500.0,135900.42,40912.025,1981470.27,2023-04-19 15:06:23.952270
GD30,67.25,20049.71,14589382.5,450207.6,816663.345,560061.6,2023-04-19 15:06:33.983722
GD30,67.25,1945882.09,11028000.0,2643.48,2647.08,6603900.0,2023-04-19 15:06:43.999241
GD30,67.25,412670.62,11029000.0,1276579.2,2206800.0,281212.95,2023-04-19 15:06:54.074767
GD30,67.25,30000.0,11029000.0,3470355.2,2195766.0,40522312.45,2023-04-19 15:07:04.078766
GD30,67.25,171900.0,551500.0,4158409.5,1955181.3,2017670.45,2023-04-19 15:07:14.086939
GD30,67.24,268556.97,56496.64,11636738.55,4970.025,29040665.63,2023-04-19 15:07:24.088399
GD30,67.25,323999.94,551500.0,601738.55,551750.0,2755375.0,2023-04-19 15:07:34.091812
GD30,67.25,429500421.65,2061677.035,1544200.0,1104000.0,2059808.135,2023-04-19 15:07:44.099890
GD30,67.25,6699.92,1103550.0,841432.215,6728614.0,6115417.85,2023-04-19 15:07:54.108057
GD30,67.24,3189.18,29906394.9,2213610.7,1227868.8,931496.265,2023-04-19 15:08:04.117202
GD30,67.25,7808418.15,29906394.9,1102950.0,2641430.4,1053144.15,2023-04-19 15:08:14.143017
GD30,67.24,246292.84,2036822.235,2095191.0,2208600.0,5508000.0,2023-04-19 15:08:24.470366
GD30,67.24,493000.0,38622500.0,1322820.0,42546835.2,2533325.27,2023-04-19 15:08:34.584962
GD30,67.24,287741.0,11338769.04,410088.45,40660872.0,11007000.0,2023-04-19 15:08:44.607287
GD30,67.25,7616642.25,14589382.5,410088.45,1103450.0,1100550.0,2023-04-19 15:08:54.784484
GD30,67.24,100000.0,72258.4,3824433.6,4298714.4,72192.8,2023-04-19 15:09:04.829824
GD30,67.24,30790.0,1605361.68,3051865.68,1777662.67,1603904.38,2023-04-19 15:09:14.843054
GD30,67.24,3006.86,40214569.5,505716.96,506405.76,205095.92,2023-04-19 15:09:24.911779
GD30,67.25,188729.64,43777.19,1321080.0,1355686.145,1451581.72,2023-04-19 15:09:35.368396
GD30,67.25,62240.0,1655250.0,410088.45,16666.625,605027.16,2023-04-19 15:09:45.395965
GD30,67.25,7360.71,1655250.0,410088.45,16666.625,362179.65,2023-04-19 15:09:55.682792
GD30,67.25,21052.72,43777.19,4970904.9,1423773.0,1168001.85,2023-04-19 15:10:05.811075
GD30,67.26,151000.0,55140000.0,4970904.9,48121.32,61099.95,2023-04-19 15:10:16.262258
GD30,67.25,905662.05,11028000.0,949349.185,499203.51,128677.675,2023-04-19 15:10:26.284460
GD30,67.25,1557271.56,43777.19,292729.31,344638.665,1587759.75,2023-04-19 15:10:36.300260
GD30,67.25,3017.55,43777.19,292729.31,289461.165,436757.76,2023-04-19 15:10:46.672947
GD30,67.26,3173564.0,115811000.8,9909000.0,4267263.7,17363120.425,2023-04-19 15:10:56.675353
GD30,67.26,178100.0,16496000.8,1543780.0,1894757.94,1435695.1,2023-04-19 15:11:06.688185
GD30,67.26,30107.03,27094920.0,5513.75,2208600.0,5445988.35,2023-04-19 15:11:18.796419
GD30,67.27,483223011.6,27094920.0,5412005.4,4801040.6,9293226.575,2023-04-19 15:11:28.809059
GD30,67.26,37818.78,27094920.0,2090375.68,1841864.2,716040.0,2023-04-19 15:11:38.873933
GD30,67.25,161190.52,398431.44,23891641.8,23205000.0,1954703.38,2023-04-19 15:11:48.883795
GD30,67.25,95273.32,40828424.0,4765295.475,4227001.2,3303112.575,2023-04-19 15:11:58.964878
GD30,67.25,20793.35,10054926.2,615311.6,1105528.85,2201062.245,2023-04-19 15:12:08.967490
GD30,67.25,500000.0,10054926.2,6272533.505,1105528.85,2204800.0,2023-04-19 15:12:19.156179
GD30,67.25,160569.15,10054926.2,55167.5,1201624.15,2205100.0,2023-04-19 15:12:29.172988
GD30,67.26,50028000.0,12713250.0,110420.0,2212000.0,1413779.185,2023-04-19 15:12:39.189405
GD30,67.24,66550.56,12713250.0,110420.0,1106450.0,1103350.0,2023-04-19 15:12:49.190985
GD30,67.23,859228.0,7516597.2,4337982.0,4341906.0,1712864.8,2023-04-19 15:12:59.224492
GD30,67.23,252074.0,897109.66,1348023.88,2213600.0,1725772.8,2023-04-19 15:13:09.240795
