SPREAD_COLOCAR_PLAZO_CERCANO,SPREAD_COLOCAR_PLAZO_LEJANO,SPREAD_TOMAR_PLAZO_CERCANO,SPREAD_TOMAR_PLAZO_LEJANO
-0.3315789076141953,-0.3038190489226391,-0.2834724816459913,-0.2644324267984257
-0.3315789076141953,-0.3038190489226391,-0.2834724816459913,-0.2644324267984257
-0.40648672099498717,-0.3599402051896076,-0.2927465988944975,-0.386161662016952
-0.3971141100576218,-0.3599402051896076,-0.2927465988944975,-0.3767880087688178
-0.3971141100576218,-0.3599402051896076,-0.2927465988944975,-0.3767880087688178
-0.3503374388816347,-0.2944830584600153,-0.2741383458291944,-0.3300090108455698
-0.3690855353345838,-0.2851320374986508,-0.2647862845900665,-0.3394013764763219
-0.3690855353345838,-0.3319580414398319,-0.2835100542558437,-0.3487591919448161
-0.5001053215388905,-0.2944830584600153,-0.2741383458291944,-0.47978779910199976
-0.4907394327633406,-0.2944830584600153,-0.18036840906726948,-0.4704208686159099
-0.4907394327633406,-0.2851320374986508,-0.2647862845900665,-0.4704208686159099
-0.4720047736958125,-0.3038340794213799,-0.2834904070683628,-0.4516841258068447
-0.4720047736958125,-0.3038340794213799,-0.2834904070683628,-0.4516841258068447
-0.4533662716213302,-0.5283509157592255,-0.479945347290848,-0.3862472639012596
-0.6779749178762446,-0.5095357090013383,-0.4892081891644254,-0.6576656627413
-0.6779749178762446,-0.5095357090013383,-0.4892081891644254,-0.6576656627413
-0.359258051531969,-0.4909010459971494,-0.4705704803782337,-0.31077880477535147
-0.3217501849032331,-0.4909010459971494,-0.4705704803782337,-0.3014012754832865
-0.3217501849032331,-0.4909010459971494,-0.4612001844750777,-0.2732686876071319
-0.3218234048216697,-0.3035351024178104,-0.2831788724959547,-0.16084239170325498
-0.2560764524924466,-0.16255954971785747,-0.14217992200255292,-0.15134029781121294
-0.2560764524924466,-0.08734740939099395,-0.07636197067484718,-0.15134029781121294
-0.2654731659182816,-0.32219860179167636,-0.3018454233274134,-0.16074239170325488
-0.2655731659182817,-0.3973141100576219,-0.3019454233274135,-0.16084239170325498
-0.3124422550339492,-0.32219860179167636,-0.3018454233274134,-0.19836518010443088
-0.3124422550339492,-0.32219860179167636,-0.3018454233274134,-0.19836518010443088
-0.3124422550339492,-0.32219860179167636,-0.3018454233274134,-0.19836518010443088
